ParkName,County,ParkIdentifier,ParkAddress,FireAuthority,Jurisdiction,MH_Spaces,RV_Lots_W_Drains,RV_Lots_WO_Drains,OperatedBy,FullAddress,Address,City,State,Zip
SPANISH RANCH II,ALAMEDA,01-0001-MP,"121 RANCHERO WAY, HAYWARD, CA 94544, (510) 886-4646","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",187,0,0,"HOMETOWN SPANISH RANCH, LLC, A DELAWARE LIMITED LIABILITY COMPANY, 121 RANCHERO WAY, HAYWARD, CA 94544","121 RANCHERO WAY, HAYWARD, CA 94544",121 RANCHERO WAY,HAYWARD,CA,94544
GEORGIAN MANOR MHP,ALAMEDA,01-0003-MP,"1419 BUCKINGHAM WAY, HAYWARD, CA 94544, (510) 785-2212","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",265,0,0,"GEORGIAN MANOR MOBILEHOME PARK L P, 321 HARTZ AVE SUITE # 7, DANVILLE, CA 94506","1419 BUCKINGHAM WAY, HAYWARD, CA 94544",1419 BUCKINGHAM WAY,HAYWARD,CA,94544
BAL TRAILER CT,ALAMEDA,01-0008-MP,"14831 BANCROFT AVE, SAN LEANDRO, CA 94578, (510) 352-8152","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",31,0,0,"PUEBLO SPRINGS MHP LTD, 10351 SANTA MONICA BLVD SUITE 200, LOS ANGELES, CA 90025","14831 BANCROFT AVE, SAN LEANDRO, CA 94578",14831 BANCROFT AVE,SAN LEANDRO,CA,94578
VASCO MHP,ALAMEDA,01-0010-MP,"6539 S FRONT RD, LIVERMORE, CA 94550, (925) 447-0758","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",50,21,0,"SOLOMON/MANDEL, EDWARD/GEORGE, PO BOX 406, ALAMO, CA 94507","6539 S FRONT RD, LIVERMORE, CA 94550",6539 S FRONT RD,LIVERMORE,CA,94550
AVALON MOBILE HOME PARK,ALAMEDA,01-0013-MP,"3970 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546, (510) 537-4815","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",49,0,0,"AVALON MHP INC, 4061 EAST CASTRO VALLEY BLVD SUITE # 478, CASTRO VALLEY, CA 94552","3970 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546",3970 CASTRO VALLEY BLVD,CASTRO VALLEY,CA,94546
NEW ENGLAND VILLAGE,ALAMEDA,01-0015-MP,"940 NEW ENGLAND VILLAGE DR, HAYWARD, CA 94544, (510) 785-4511","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",415,0,0,"BRANDENBURG STAEDLER & MOORE, 1122 WILLOW ST SUITE # 200, SAN JOSE, CA 95125","940 NEW ENGLAND VILLAGE DR, HAYWARD, CA 94544",940 NEW ENGLAND VILLAGE DR,HAYWARD,CA,94544
DEL RIO MOBILE HOME,ALAMEDA,01-0016-MP,"1550 162ND AVE, SAN LEANDRO, CA 94578, (510) 278-8810","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",52,0,0,"CALIFANO FAMILY TRUST, 1550 162ND AVENUE SPACE # 43, SAN LEANDRO, CA 94578","1550 162ND AVE, SAN LEANDRO, CA 94578",1550 162ND AVE,SAN LEANDRO,CA,94578
DEL VALLE MHP,ALAMEDA,01-0017-MP,"1148 ARROYO RD, LIVERMORE, CA 94550, (510) 331-2000","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",29,0,0,"ABBOUD FAMILY TRUST, PO BOX 3975, HAYWARD, CA 94540","1148 ARROYO RD, LIVERMORE, CA 94550",1148 ARROYO RD,LIVERMORE,CA,94550
BAYSHORE COMMONS,ALAMEDA,01-0023-MP,"1468 GRAND AVE, SAN LEANDRO, CA 94577, (510) 351-5950","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",40,0,0,"SAN LEANDRO TRAILER PARK LLC, 6653 EMBARCADERO DR SUITE # C, STOCKTON, CA 95219","1468 GRAND AVE, SAN LEANDRO, CA 94577",1468 GRAND AVE,SAN LEANDRO,CA,94577
FAIRVIEW TP,ALAMEDA,01-0024-MP,"785 ROSE AVE, PLEASANTON, CA 94566, (925) 846-5074","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826","HCD - NORTHERN AREA OFFICE, 9342 TECH CENTER DR, SUITE # 550, SACRAMENTO, CA 95826",14,8,0,"GIL, EDMUND, 2606 DERBY DR, SAN RAMON, CA 94583","785 ROSE AVE, PLEASANTON, CA 94566",785 ROSE AVE,PLEASANTON,CA,94566
